Month,2018,2019
January,120974,122273
February,115600,115613
March,119841,114419
April,104967,108565
May,101138,96814
June,84345,92398
July,115881,115448
August,109471,107275
September,102849,100837
October,134052,129018
November,132247,128730
December,158043,152098
