Year,January,February,March,April,May,June,July,August,September,October,November,December
2018,120974,115600,119841,104967,101138,84345,115881,109471,102849,134052,132247,158043
2019,122273,115613,114419,108565,96814,92398,115448,107275,100837,129018,128730,152098
